                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.01583,                 2.5113,                      0,                 1.0915,                 1.6279,                0.23604,                0.60074,                0.20004,                0.07377,                0.00998,                0.11248,                0.00558,                0.00258,                    nan,                    nan,                      0,                    nan,                    nan,              0.0012296,              0.0012296,              0.0012296
                     35,                0.01572,                 2.5889,                      0,                 1.0871,                 1.5647,                0.20743,                0.49691,                0.17559,                0.04392,                0.00541,                0.05315,                0.00288,                 0.0013,                    nan,                 9.1368,                      0,                    nan,                    nan,              0.0012628,              0.0012628,              0.0012628
                     36,                0.01775,                 2.9108,                      0,                 1.1659,                 1.7576,                0.11638,                0.68603,                0.11307,                0.04066,                0.00618,                0.06304,                0.00329,                0.00178,                    nan,                    nan,                      0,                    nan,                    nan,              0.0012959,              0.0012959,              0.0012959
                     37,                 0.0158,                 2.4363,                      0,                 1.0282,                 1.4785,                0.10644,                0.28183,                0.06747,                0.01749,                0.01474,                0.13473,                0.00847,                 0.0041,                    nan,                 8.9411,                      0,                    nan,                    nan,              0.0013287,              0.0013287,              0.0013287
                     38,                0.01591,                 2.3933,                      0,                  1.071,                  1.464,                0.15749,                0.78863,                0.15365,                0.05071,                0.00156,                0.01854,                 0.0008,                0.00018,                0.01948,                 9.7073,                      0,                    inf,                 11.682,              0.0013614,              0.0013614,              0.0013614
                     39,                0.01574,                 2.4778,                      0,                 1.0453,                 1.4244,                 0.2929,                0.54017,                0.21915,                0.05897,                 0.0099,                0.11743,                0.00559,                0.00248,                0.02005,                 9.2527,                      0,                  9.707,                 5.2488,              0.0013938,              0.0013938,              0.0013938
                     40,                0.01513,                 2.3401,                      0,                 1.0408,                 1.4464,                0.22928,                0.46601,                0.20088,                0.06508,                0.01541,                 0.1026,                0.00828,                0.00434,                0.01843,                 8.8739,                      0,                 7.8377,                  3.576,              0.0014261,              0.0014261,              0.0014261
                     41,                0.01576,                 2.4419,                      0,                 1.0811,                  1.402,                0.19249,                0.51298,                0.18302,                0.05505,                0.00564,                0.04944,                0.00281,                0.00118,                0.01778,                 9.1794,                      0,                 14.261,                 2.8782,              0.0014582,              0.0014582,              0.0014582
                     42,                0.01527,                 2.5072,                      0,                 1.0567,                 1.4316,                0.28343,                0.41656,                0.21365,                0.06408,                0.00493,                0.05686,                0.00262,                0.00119,                0.01811,                 9.4139,                      0,                    inf,                  5.352,                0.00149,                0.00149,                0.00149
                     43,                0.01476,                 2.1305,                      0,                 1.0677,                 1.4546,                0.24727,                0.70896,                0.40388,                0.14739,                0.01201,                0.12608,                0.00677,                0.00278,                0.01541,                 9.3631,                      0,                 12.238,                 2.4324,              0.0015217,              0.0015217,              0.0015217
                     44,                0.01597,                 2.3615,                      0,                 1.1045,                 1.4893,                0.26588,                0.54388,                0.22721,                0.06208,                0.00337,                0.03956,                0.00175,                0.00061,                0.01918,                 9.6293,                      0,                 13.552,                 5.7485,              0.0015531,              0.0015531,              0.0015531
                     45,                0.01557,                 2.3127,                      0,                 1.0488,                 1.3648,                0.22791,                0.41409,                0.15427,                0.03906,                0.01237,                0.12361,                0.00697,                0.00252,                0.02259,                 9.1527,                      0,                 12.598,                 7.0394,              0.0015844,              0.0015844,              0.0015844
                     46,                0.01448,                 2.2471,                      0,                  1.058,                 1.3047,                0.17144,                0.09518,                0.02863,                 0.0065,                0.01297,                0.08035,                0.00712,                0.00292,                0.03113,                  8.752,                      0,                 9.0725,                  6.627,              0.0016155,              0.0016155,              0.0016155
