                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.01134,                 5.5259,                      0,                0.75967,                0.86713,                0.88293,                0.88095,                0.91138,                0.48501,                0.59357,                0.57757,                0.43861,                0.16161,                0.01109,                 5.3464,                      0,                0.80868,                0.93413,              0.0017736,              0.0017736,              0.0017736
                     37,                0.01124,                 5.4692,                      0,                0.76125,                0.85389,                0.89409,                0.90828,                 0.9407,                0.56682,                0.59847,                0.59383,                0.44639,                0.17272,                0.00973,                 5.2309,                      0,                0.81485,                0.91869,              0.0017669,              0.0017669,              0.0017669
                     38,                 0.0108,                 5.4584,                      0,                0.75059,                0.87056,                0.89296,                0.91167,                0.93109,                 0.5643,                0.60148,                0.58707,                0.43944,                0.16985,                0.00962,                 5.3761,                      0,                0.76325,                0.90619,              0.0017602,              0.0017602,              0.0017602
                     39,                0.01092,                 5.5326,                      0,                0.76427,                   0.86,                 0.8846,                 0.8986,                0.93971,                0.55588,                0.59197,                0.55733,                0.43502,                0.17032,                0.00991,                 5.3839,                      0,                0.78027,                0.92157,              0.0017536,              0.0017536,              0.0017536
                     40,                0.01098,                 5.5194,                      0,                0.75351,                  0.848,                0.91561,                0.91759,                0.95498,                0.61112,                0.61417,                0.59715,                0.47218,                 0.1861,                0.00892,                  5.265,                      0,                0.70654,                0.87139,              0.0017469,              0.0017469,              0.0017469
                     41,                0.01056,                 5.3453,                      0,                0.71053,                 0.8216,                0.92301,                 0.9253,                 0.9586,                0.61868,                0.62542,                 0.6084,                0.47367,                0.20221,                0.00882,                 5.1213,                      0,                0.70062,                0.86236,              0.0017403,              0.0017403,              0.0017403
                     42,                0.01031,                 5.3661,                      0,                0.70697,                0.81952,                0.92748,                0.92189,                0.95447,                0.63241,                0.62777,                0.61089,                0.47593,                0.19685,                0.00872,                 5.1163,                      0,                0.67469,                0.85452,              0.0017336,              0.0017336,              0.0017336
                     43,                0.01051,                 5.3917,                      0,                0.71033,                0.82195,                0.90916,                0.91088,                0.94598,                0.58602,                0.60414,                0.58975,                0.45569,                0.15672,                0.00932,                 5.3897,                      0,                   0.71,                0.88902,              0.0017269,              0.0017269,              0.0017269
                     44,                0.01072,                 5.3926,                      0,                0.71689,                0.83936,                0.91221,                0.92138,                0.94408,                0.57358,                0.62047,                0.61322,                0.46922,                0.19819,                0.00957,                 5.0811,                      0,                0.77574,                0.88873,              0.0017203,              0.0017203,              0.0017203
                     45,                0.01067,                 5.3493,                      0,                0.71823,                0.82534,                0.91357,                0.91078,                0.94666,                0.62797,                0.62391,                0.60426,                0.47175,                0.19684,                0.00851,                 5.0802,                      0,                0.71111,                 0.8574,              0.0017136,              0.0017136,              0.0017136
                     46,                0.01061,                 5.3278,                      0,                 0.7107,                0.81261,                0.90866,                0.91424,                0.94949,                0.59067,                0.62086,                0.61519,                0.46632,                0.19615,                 0.0091,                 5.1196,                      0,                0.74595,                0.86316,               0.001707,               0.001707,               0.001707
                     47,                 0.0103,                 5.2898,                      0,                0.69066,                0.82238,                0.92279,                0.92715,                0.95202,                0.57299,                0.59153,                0.56772,                 0.4385,                0.15566,                0.00985,                 5.4216,                      0,                0.72255,                0.89528,              0.0017003,              0.0017003,              0.0017003
                     48,                0.01072,                 5.5038,                      0,                0.71244,                0.83813,                0.92805,                0.93121,                0.95864,                0.60274,                 0.6095,                0.58778,                0.45533,                0.15231,                 0.0093,                 5.3571,                      0,                0.71362,                0.89819,              0.0016936,              0.0016936,              0.0016936
                     49,                0.01049,                 5.4194,                      0,                0.68937,                0.82064,                0.93385,                0.91553,                0.95599,                 0.6337,                0.62974,                0.61501,                0.48515,                0.20098,                0.00866,                 5.0841,                      0,                0.69754,                 0.8429,               0.001687,               0.001687,               0.001687
                     50,                0.01005,                 5.2705,                      0,                0.67901,                0.81851,                 0.9315,                0.93139,                0.95886,                 0.5888,                0.63529,                0.62021,                    0.5,                0.22014,                0.00964,                  5.032,                      0,                0.69089,                0.86826,              0.0016803,              0.0016803,              0.0016803
