                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.34634,                0.26335,                0.32698,                0.92677,                0.96264,                0.97792,                 0.9887,                0.96717,                0.96264,                0.97792,                 0.9887,                0.96552,                0.25259,                0.19712,                0.27558,                0.88415,              0.0018069,              0.0018069,              0.0018069
                     61,                0.33128,                0.28256,                0.32883,                0.91741,                0.96548,                0.97039,                0.98911,                0.96394,                0.96548,                0.97039,                0.98911,                0.96257,                0.27781,                0.19924,                0.27839,                 0.9061,              0.0018035,              0.0018035,              0.0018035
                     62,                0.31394,                0.25281,                 0.3238,                0.91105,                0.97176,                0.98107,                0.98857,                 0.9604,                 0.9728,                0.98212,                0.98982,                0.95538,                0.26692,                0.19728,                0.27618,                0.88643,              0.0018002,              0.0018002,              0.0018002
                     63,                0.34926,                0.26804,                0.34233,                 0.9302,                0.97363,                0.97161,                0.99111,                 0.9688,                0.97363,                0.97161,                 0.9912,                0.96572,                0.28047,                0.20637,                0.26354,                0.90708,              0.0017969,              0.0017969,              0.0017969
                     64,                0.33275,                0.25576,                 0.3242,                0.92234,                0.96173,                0.97766,                0.99022,                0.96574,                0.96173,                0.97766,                0.99022,                0.96391,                0.25652,                0.19028,                0.28118,                0.88545,              0.0017935,              0.0017935,              0.0017935
                     65,                0.33175,                0.28808,                0.34575,                0.92486,                0.96326,                0.96486,                0.98339,                0.95101,                0.96326,                0.96486,                0.98339,                 0.9488,                0.27481,                0.21515,                0.28883,                 0.9054,              0.0017902,              0.0017902,              0.0017902
                     66,                 0.3354,                0.26835,                0.33842,                0.92155,                 0.9643,                 0.9372,                0.98057,                0.95056,                0.96321,                0.93615,                0.97998,                0.94724,                0.29768,                0.23175,                0.32542,                0.92225,              0.0017869,              0.0017869,              0.0017869
                     67,                0.33716,                0.26866,                0.33414,                0.91909,                0.95558,                0.95003,                0.97943,                0.94962,                0.95875,                0.95312,                0.98049,                0.94186,                 0.2969,                0.25797,                0.33519,                0.92492,              0.0017836,              0.0017836,              0.0017836
                     68,                0.33751,                0.25789,                0.33052,                0.92644,                0.95785,                 0.9797,                0.98794,                0.96873,                0.95785,                 0.9797,                0.98794,                0.95668,                0.25138,                0.19963,                0.28319,                 0.8798,              0.0017802,              0.0017802,              0.0017802
                     69,                0.32168,                0.26274,                 0.3226,                0.91313,                0.97425,                0.97056,                0.98745,                0.96307,                0.97425,                0.97056,                0.98675,                0.95665,                0.27084,                0.22235,                  0.283,                 0.8982,              0.0017769,              0.0017769,              0.0017769
                     70,                0.32077,                0.26268,                0.32127,                0.90487,                0.97437,                 0.9674,                0.99066,                0.97251,                0.97437,                 0.9674,                0.99053,                0.96281,                0.23993,                0.19705,                0.26362,                0.87377,              0.0017736,              0.0017736,              0.0017736
                     71,                0.30874,                0.25642,                0.31496,                0.90328,                0.95178,                0.95373,                0.98459,                0.96254,                0.95246,                0.95373,                0.98488,                 0.9571,                 0.2775,                0.21497,                0.30031,                0.89971,              0.0017702,              0.0017702,              0.0017702
                     72,                 0.3167,                0.27007,                0.31824,                0.90583,                0.97242,                0.96386,                0.98544,                0.96469,                0.97242,                0.96386,                0.98546,                0.95544,                0.25292,                0.20659,                0.28024,                 0.8801,              0.0017669,              0.0017669,              0.0017669
                     73,                0.30564,                0.26296,                0.32043,                 0.9005,                0.96787,                0.95899,                0.98306,                0.95918,                0.96715,                0.95963,                0.98308,                0.95111,                0.25101,                0.21359,                0.27987,                0.87773,              0.0017636,              0.0017636,              0.0017636
                     74,                0.29975,                0.26212,                0.32851,                0.89966,                0.94347,                0.96529,                0.98543,                 0.9618,                0.94347,                0.96529,                0.98543,                0.94316,                0.25653,                0.34124,                0.31123,                0.89074,              0.0017602,              0.0017602,              0.0017602
                     75,                0.30514,                0.27356,                0.31628,                0.90057,                0.96565,                0.96425,                 0.9904,                0.96674,                 0.9667,                 0.9653,                0.99072,                0.95537,                0.26358,                0.21401,                0.26838,                0.89161,              0.0017569,              0.0017569,              0.0017569
                     76,                0.32111,                0.26779,                0.32671,                0.90633,                0.97327,                0.95719,                0.99005,                0.96493,                0.97327,                0.95719,                0.99017,                 0.9573,                0.26427,                0.21048,                0.27989,                0.89276,              0.0017536,              0.0017536,              0.0017536
                     77,                0.30544,                0.25441,                0.31619,                0.90214,                0.94446,                0.96109,                0.98276,                0.94987,                0.93928,                 0.9597,                0.98232,                0.93698,                0.27267,                 0.2807,                0.32856,                0.89992,              0.0017503,              0.0017503,              0.0017503
                     78,                0.30715,                0.25429,                0.31459,                0.90149,                0.97207,                0.97792,                 0.9905,                 0.9748,                0.97207,                0.97792,                 0.9905,                 0.9632,                0.23517,                0.19838,                0.24604,                0.86972,              0.0017469,              0.0017469,              0.0017469
                     79,                0.29893,                0.24358,                0.30915,                0.89639,                0.96508,                0.97371,                0.98944,                0.97396,                0.96508,                0.97371,                0.98944,                0.96513,                0.23103,                0.19823,                0.25335,                0.86557,              0.0017436,              0.0017436,              0.0017436
                     80,                0.29922,                0.24976,                 0.3067,                0.89144,                0.97763,                0.97266,                   0.99,                0.97012,                0.97869,                0.97371,                0.99009,                0.96048,                0.25351,                0.21156,                0.24772,                0.88264,              0.0017403,              0.0017403,              0.0017403
                     81,                0.28876,                0.25084,                0.30001,                0.88987,                0.97463,                0.96961,                0.99092,                0.97454,                0.97463,                0.96961,                0.99103,                0.96583,                0.22642,                0.19147,                0.24314,                0.86372,              0.0017369,              0.0017369,              0.0017369
                     82,                0.28375,                0.24076,                0.29824,                0.88829,                0.97208,                0.96635,                0.98941,                0.97201,                0.97208,                0.96635,                0.98987,                0.96428,                0.23307,                0.19543,                0.25231,                0.86777,              0.0017336,              0.0017336,              0.0017336
